pop_size,score,time
20,2.676,22.023452758789062
20,2.748,21.600829601287842
20,2.7220000000000004,21.319172382354736
20,2.643,21.41625952720642
20,2.725,21.869795083999634
20,2.653,21.379775285720825
20,2.7399999999999998,21.861713409423828
20,2.718,21.277734518051147
20,2.734,21.447533130645752
20,2.6700000000000004,21.00482153892517
20,2.634,21.985782384872437
20,2.6239999999999997,21.141218185424805
20,2.6730000000000005,21.170374870300293
20,2.633,22.076483964920044
20,2.734,21.95197296142578
20,2.643,11.876823902130127
20,2.708,11.763646364212036
20,2.6610000000000005,11.51982307434082
20,2.7350000000000003,11.713907718658447
20,2.699,11.74856686592102
100,2.6900000000000004,107.54596185684204
100,2.6980000000000004,107.517009973526
100,2.7600000000000002,109.73501992225647
100,2.7369999999999997,109.56877303123474
100,2.74,108.88510918617249
100,2.79,109.40777063369751
100,2.696,108.54085302352905
100,2.723,108.95096731185913
100,2.713,110.30755233764648
100,2.737,108.15694999694824
100,2.7350000000000003,109.1805055141449
100,2.778,105.53027653694153
100,2.7300000000000004,108.50148701667786
100,2.75,107.53242421150208
100,2.724,108.2212746143341
100,2.722,52.92162799835205
100,2.7270000000000003,52.17790746688843
100,2.738,52.379833936691284
100,2.7039999999999997,52.83713507652283
100,2.6759999999999997,51.91375207901001
250,2.793,269.21945095062256
250,2.715,265.79328989982605
250,2.7920000000000003,272.1372799873352
250,2.6759999999999997,271.2768681049347
250,2.789,269.6562166213989
250,2.784,270.29435539245605
250,2.753,266.92251801490784
250,2.776,271.2947564125061
250,2.734,271.2728605270386
250,2.737,270.43126344680786
250,2.7640000000000002,268.5033905506134
250,2.783,270.51783299446106
250,2.771,265.9510250091553
250,2.7190000000000003,264.0538840293884
250,2.778,269.99533867836
250,2.791,129.96916437149048
250,2.772,130.07317066192627
250,2.748,130.22421956062317
250,2.803,128.18906831741333
250,2.697,129.75520372390747
500,2.7439999999999998,812.3041276931763
500,2.7750000000000004,814.3157958984375
500,2.7670000000000003,818.1826074123383
500,2.722,811.3910844326019
500,2.709,816.481183052063
500,2.709,814.0822339057922
500,2.748,815.054398059845
500,2.79,816.124183177948
500,2.734,812.7604801654816
500,2.737,818.3262250423431
500,2.81,819.0820021629333
500,2.7960000000000003,816.0890109539032
500,2.739,812.4553842544556
500,2.745,818.2910232543945
500,2.788,812.4496767520905
500,2.698,260.4079840183258
500,2.766,260.1819221973419
500,2.7800000000000002,259.8506643772125
500,2.802,261.76417350769043
500,2.79,258.2261219024658
1000,2.77,1122.0962040424347
1000,2.7920000000000003,1112.005490064621
1000,2.739,1094.0079851150513
1000,2.7880000000000003,1114.9849498271942
1000,2.754,1105.9676721096039
1000,2.802,1120.232162952423
1000,2.7840000000000003,1112.8136553764343
1000,2.7939999999999996,1111.8761384487152
1000,2.7510000000000003,1111.3050181865692
1000,2.7640000000000002,1117.328008890152
1000,2.7340000000000004,1114.3644559383392
1000,2.802,1090.0697882175446
1000,2.79,1117.483003616333
1000,2.802,1097.7354707717896
1000,2.774,1103.3939304351807
1000,2.7800000000000002,524.8106791973114
1000,2.806,527.7423403263092
1000,2.737,543.8221933841705
1000,2.798,519.8115499019623
1000,2.723,520.8465869426727
