tabu_len,score,time
20,2.7689999999999997,68.84030079841614
20,2.7880000000000003,68.4377989768982
20,2.7860000000000005,69.03214383125305
20,2.774,68.19540548324585
20,2.766,68.02819919586182
20,2.797,68.9121835231781
20,2.7960000000000003,68.25923585891724
20,2.7600000000000002,71.33029389381409
20,2.7050000000000005,75.7798171043396
20,2.697,75.24182295799255
20,2.79,68.30557465553284
20,2.7990000000000004,68.40503120422363
20,2.789,68.33774614334106
20,2.7800000000000002,67.96675419807434
20,2.7670000000000003,68.62455248832703
20,2.778,69.39257478713989
20,2.7750000000000004,71.16215133666992
20,2.814,70.88080096244812
20,2.7689999999999997,69.48274517059326
20,2.752,70.30518102645874
20,2.7920000000000003,70.78310108184814
20,2.784,70.33172035217285
20,2.77,70.28833794593811
20,2.7800000000000002,70.73203778266907
20,2.826,70.88706302642822
20,2.785,70.77562165260315
20,2.778,70.12981176376343
20,2.772,69.02893877029419
20,2.778,66.47960901260376
20,2.815,66.37692165374756
50,2.762,68.09318161010742
50,2.802,68.22823715209961
50,2.807,67.73478126525879
50,2.789,67.72665524482727
50,2.766,67.59520316123962
50,2.782,67.29088091850281
50,2.773,68.08780694007874
50,2.762,68.04775786399841
50,2.7560000000000002,67.08399057388306
50,2.7960000000000003,67.93265676498413
50,2.782,67.15260148048401
50,2.753,68.13509774208069
50,2.81,67.98519778251648
50,2.752,67.41244339942932
50,2.784,67.93300890922546
50,2.749,66.2806167602539
50,2.782,66.42508316040039
50,2.7700000000000005,66.88462781906128
50,2.858,66.98580884933472
50,2.7630000000000003,66.38244962692261
50,2.804,66.59288692474365
50,2.768,66.9799256324768
50,2.781,66.94674587249756
50,2.744,66.05599427223206
50,2.752,66.91504430770874
50,2.779,66.12905097007751
50,2.766,66.76821565628052
50,2.7270000000000003,67.00094842910767
50,2.791,66.88464593887329
50,2.762,66.68682551383972
100,2.776,66.38247489929199
100,2.754,65.35855960845947
100,2.7800000000000002,66.71273398399353
100,2.803,65.78263282775879
100,2.8,66.8194363117218
100,2.7730000000000006,65.50010085105896
100,2.81,66.51552104949951
100,2.754,65.3768413066864
100,2.806,66.74027180671692
100,2.753,65.32023310661316
100,2.762,66.3180205821991
100,2.766,66.69501662254333
100,2.776,65.37863445281982
100,2.7910000000000004,66.1435649394989
100,2.77,65.65721559524536
100,2.7760000000000002,67.85937309265137
100,2.794,66.12867069244385
100,2.7800000000000002,66.96311116218567
100,2.746,66.39089322090149
100,2.6980000000000004,69.85380911827087
100,2.7680000000000002,66.65348243713379
100,2.807,66.42695760726929
100,2.755,67.27691960334778
100,2.77,66.3386013507843
100,2.808,67.4005126953125
100,2.795,67.34326815605164
100,2.776,67.30136585235596
100,2.795,66.95583844184875
100,2.789,66.98584365844727
100,2.7630000000000003,66.91563701629639
200,2.802,67.59294152259827
200,2.786,66.3825614452362
200,2.806,64.82610630989075
200,2.7939999999999996,65.73991227149963
200,2.77,65.11145758628845
200,2.802,65.63611960411072
200,2.7620000000000005,66.43915343284607
200,2.7920000000000003,64.88789987564087
200,2.775,65.08392024040222
200,2.793,64.79296827316284
200,2.7689999999999997,65.23201322555542
200,2.786,66.04867577552795
200,2.7800000000000002,66.20743680000305
200,2.746,66.24487113952637
200,2.785,64.88659906387329
200,2.7920000000000003,67.3456962108612
200,2.782,66.12520599365234
200,2.728,66.40495133399963
200,2.8280000000000003,66.64768719673157
200,2.755,66.61481142044067
200,2.8020000000000005,66.52317452430725
200,2.784,67.72840213775635
200,2.772,66.01991033554077
200,2.782,66.00812864303589
200,2.772,66.41310214996338
200,2.782,66.3081693649292
200,2.7399999999999998,66.60500001907349
200,2.8040000000000003,66.35425901412964
200,2.834,66.33147406578064
200,2.762,65.67334747314453
250,2.768,64.3747010231018
250,2.758,66.26313734054565
250,2.8120000000000003,64.19578289985657
250,2.798,65.09761548042297
250,2.7560000000000002,65.67176294326782
250,2.752,64.88493227958679
250,2.804,64.55071830749512
250,2.7939999999999996,65.5609860420227
250,2.7880000000000003,64.74196028709412
250,2.766,64.5316390991211
250,2.7640000000000002,65.70264530181885
250,2.772,64.51805138587952
250,2.7640000000000002,64.89787697792053
250,2.7920000000000003,65.59102892875671
250,2.766,65.922292470932
250,2.794,64.3865818977356
250,2.7640000000000002,64.77375769615173
250,2.7649999999999997,64.32093548774719
250,2.762,65.87310862541199
250,2.7380000000000004,64.6278018951416
250,2.8240000000000003,64.13865351676941
250,2.7600000000000002,64.4545259475708
250,2.7800000000000002,64.51008892059326
250,2.7800000000000002,64.39436483383179
250,2.77,64.79079008102417
250,2.806,64.69244003295898
250,2.8080000000000003,65.22003555297852
250,2.7800000000000002,64.76571440696716
250,2.7800000000000002,64.66162109375
250,2.7860000000000005,64.48197770118713
