num_restarts,score,time
5,2.7560000000000002,6.454507827758789
5,2.7800000000000002,6.455283880233765
5,2.774,6.458941221237183
5,2.81,6.478632211685181
5,2.768,6.501484632492065
5,2.783,6.480178117752075
5,2.804,6.524007320404053
5,2.782,6.333756446838379
5,2.766,6.43137526512146
5,2.752,6.310275077819824
5,2.774,6.508793354034424
5,2.786,6.574161767959595
5,2.748,6.533563137054443
5,2.746,6.480971097946167
5,2.81,6.370605230331421
5,2.802,7.509346008300781
5,2.776,7.545029163360596
5,2.75,7.5654332637786865
5,2.7880000000000003,7.5067737102508545
5,2.766,7.53808069229126
5,2.798,7.4896745681762695
5,2.762,7.479613542556763
5,2.7800000000000002,7.5192952156066895
5,2.789,7.501513957977295
5,2.784,7.517435073852539
5,2.7960000000000003,7.538888692855835
5,2.818,7.475901126861572
5,2.75,7.539783954620361
5,2.798,7.544004917144775
5,2.77,7.523591756820679
10,2.753,7.805779933929443
10,2.822,7.760366916656494
10,2.785,7.903049468994141
10,2.784,8.255555868148804
10,2.804,8.117350339889526
10,2.791,8.405401229858398
10,2.806,8.186330318450928
10,2.785,8.076122760772705
10,2.771,7.800167798995972
10,2.777,8.098841667175293
10,2.793,8.15812349319458
10,2.774,8.308433532714844
10,2.753,7.756376266479492
10,2.723,7.865615606307983
10,2.7920000000000003,8.23649549484253
10,2.786,8.012383222579956
10,2.742,8.016319990158081
10,2.802,7.990787506103516
10,2.7640000000000002,7.9827799797058105
10,2.761,7.9481494426727295
10,2.8,7.896345138549805
10,2.787,7.987322092056274
10,2.772,7.943325757980347
10,2.81,7.947116851806641
10,2.75,7.750368356704712
10,2.766,7.933274984359741
10,2.7880000000000003,7.860235691070557
10,2.768,7.654503583908081
10,2.8280000000000003,7.7295684814453125
10,2.781,7.676214933395386
25,2.771,7.643376350402832
25,2.831,7.578905820846558
25,2.7640000000000002,7.442605495452881
25,2.761,7.688852310180664
25,2.802,7.723545789718628
25,2.754,7.570886135101318
25,2.771,7.712616205215454
25,2.786,7.729570150375366
25,2.7600000000000002,7.614733934402466
25,2.806,7.495387077331543
25,2.768,7.666970729827881
25,2.77,7.571358919143677
25,2.8,7.637404441833496
25,2.778,7.476600646972656
25,2.79,7.742460012435913
25,2.7800000000000002,7.845870733261108
25,2.8280000000000003,7.917756795883179
25,2.782,7.936333656311035
25,2.7880000000000003,7.8060126304626465
25,2.774,7.828583478927612
25,2.804,7.752383470535278
25,2.728,7.824433326721191
25,2.7960000000000003,7.827414274215698
25,2.81,7.823708534240723
25,2.774,7.942457914352417
25,2.802,7.857435703277588
25,2.782,7.897206783294678
25,2.787,7.831174612045288
25,2.816,7.945704460144043
25,2.777,7.867393970489502
50,2.786,7.517974853515625
50,2.786,7.525554656982422
50,2.7880000000000003,7.653326749801636
50,2.7939999999999996,7.587658882141113
50,2.793,7.668259620666504
50,2.7939999999999996,7.636322975158691
50,2.737,7.519230842590332
50,2.81,7.517773628234863
50,2.81,7.616656541824341
50,2.79,7.658807277679443
50,2.77,7.736059904098511
50,2.7880000000000003,7.65666651725769
50,2.7880000000000003,7.510432481765747
50,2.7630000000000003,7.590055465698242
50,2.83,7.551785469055176
50,2.7960000000000003,7.7323267459869385
50,2.7920000000000003,7.703500747680664
50,2.782,7.553509950637817
50,2.783,7.599632978439331
50,2.766,7.628957986831665
50,2.782,7.609652042388916
50,2.802,7.6452600955963135
50,2.787,7.672571659088135
50,2.784,7.590385913848877
50,2.772,7.653969764709473
50,2.836,7.631019592285156
50,2.825,7.645510911941528
50,2.778,7.6495888233184814
50,2.774,7.645287275314331
50,2.802,7.636614084243774
100,2.7920000000000003,7.586656093597412
100,2.814,7.668304443359375
100,2.7939999999999996,7.736786842346191
100,2.774,7.543596029281616
100,2.785,7.703356981277466
100,2.746,7.577132701873779
100,2.7960000000000003,7.571359634399414
100,2.787,7.519086837768555
100,2.774,7.499732971191406
100,2.753,7.526287078857422
100,2.7630000000000003,7.5755980014801025
100,2.7800000000000002,7.6982033252716064
100,2.779,7.695767879486084
100,2.783,7.582169055938721
100,2.7939999999999996,7.550021648406982
100,2.795,7.681485176086426
100,2.79,7.7537291049957275
100,2.7880000000000003,7.7598772048950195
100,2.802,7.702342987060547
100,2.778,7.633957862854004
100,2.79,7.7305967807769775
100,2.808,7.621326923370361
100,2.802,7.707566499710083
100,2.783,7.75847315788269
100,2.7800000000000002,7.707127094268799
100,2.746,7.644195795059204
100,2.798,7.65338134765625
100,2.762,7.660419225692749
100,2.82,7.652045965194702
100,2.77,7.67334508895874
